Converged local optima,Num_roa,Num_local_optima,Time(s)
11,23,2261,7.092
3,22,2261,10.982
9,8,2252,25.158
6,31,2233,3.243
11,17,2212,8.415
7,80,2260,24.254
9,68,2279,26.768
10,50,2252,22.167
4,60,2230,28.258
10,43,2225,8.783
