Converged local optima,Num_roa,Num_local_optima,Time(s)
11,10,2212,20.972
10,11,2226,8.848
6,10,2238,11.627
9,13,2258,9.78
7,6,2233,8.792
8,12,2251,8.778
6,10,2257,11.779
8,7,2243,8.917
9,11,2231,9.788
11,11,2225,8.417
