Converged local optima,Num_roa,Num_local_optima,Time(s)
9,21,2261,15.538
6,13,2254,7.517
8,17,2265,13.886
5,5,2236,23.608
8,5,2226,9.423
8,12,2231,9.187
9,41,2243,8.714
7,41,2265,26.711
9,26,2232,26.608
