Converged local optima,Num_roa,Num_local_optima,Time(s)
8.0,6.0,2223.0,7593.216504096985
8.0,1.0,2205.0,7799.229517221451
8.0,10.0,2233.0,7433.928868293762
8.0,7.0,2235.0,19662.138714551926
5.0,11.0,2251.0,13266.550244569778
