Coverged local optima,Time(s)
48.0,7.373424768447876
41.0,6.566608190536499
35.0,6.006985664367676
35.0,6.032878875732422
35.0,5.9518961906433105
35.0,5.906394958496094
34.0,5.985164165496826
34.0,5.922191858291626
34.0,5.878444194793701
34.0,5.98213791847229
34.0,5.874093532562256
34.0,6.248155355453491
31.0,5.954136371612549
31.0,6.002925157546997
31.0,6.237306833267212
31.0,5.9890336990356445
31.0,6.4639081954956055
31.0,5.874266624450684
31.0,5.931150913238525
18.0,5.860301733016968
18.0,6.034655332565308
18.0,7.208418130874634
18.0,5.971186637878418
18.0,5.980054616928101
18.0,6.506747245788574
18.0,6.487473249435425
18.0,6.506613731384277
18.0,6.408923387527466
18.0,6.622377634048462
18.0,6.336071491241455
18.0,6.384938955307007
18.0,5.900414228439331
18.0,6.030921697616577
18.0,6.02481746673584
18.0,5.914233684539795
18.0,6.102694749832153
18.0,5.99711012840271
18.0,5.958137512207031
18.0,5.867361307144165
18.0,6.559976100921631
18.0,6.513670921325684
18.0,6.8078086376190186
18.0,6.504616022109985
18.0,6.417848587036133
18.0,6.383940696716309
18.0,6.552575349807739
18.0,6.395068168640137
18.0,6.721237897872925
18.0,6.461827993392944
18.0,6.4547576904296875
18.0,6.3781445026397705
18.0,6.205416679382324
18.0,6.312876224517822
18.0,6.362999677658081
18.0,6.672809600830078
18.0,6.440755367279053
18.0,6.577647686004639
18.0,6.455086946487427
18.0,6.574004650115967
18.0,6.605010032653809
18.0,6.534522533416748
18.0,6.619234085083008
18.0,5.856424570083618
18.0,5.993022680282593
13.0,6.076799154281616
13.0,6.405287981033325
13.0,6.178309917449951
13.0,5.8455421924591064
13.0,5.859647989273071
13.0,5.962332248687744
13.0,6.53964638710022
13.0,6.4997663497924805
13.0,6.646387577056885
13.0,6.363102197647095
13.0,6.47872519493103
13.0,6.4607367515563965
13.0,6.566485643386841
13.0,6.4537880420684814
13.0,6.4652769565582275
13.0,6.65436315536499
13.0,6.536665916442871
13.0,6.437352895736694
13.0,6.5271995067596436
13.0,6.372027635574341
13.0,6.384660005569458
13.0,6.319271087646484
13.0,6.51564621925354
13.0,6.391919136047363
13.0,6.514552354812622
13.0,6.6837852001190186
13.0,6.6183178424835205
13.0,6.457867622375488
13.0,6.401076078414917
13.0,6.409869432449341
13.0,6.508608341217041
13.0,6.592376232147217
13.0,6.444777965545654
13.0,6.868184328079224
13.0,6.313292741775513
13.0,8.361506462097168
13.0,7.627718210220337
13.0,6.74718976020813
13.0,6.707402944564819
13.0,6.329132795333862
13.0,6.724254131317139
13.0,6.713915824890137
13.0,6.728436231613159
13.0,8.11585545539856
13.0,7.115321636199951
13.0,7.172485113143921
13.0,7.1158447265625
13.0,8.582181453704834
13.0,6.750106334686279
13.0,6.601899862289429
13.0,7.001255512237549
13.0,6.432813405990601
13.0,6.803842306137085
13.0,6.636382579803467
13.0,6.444076299667358
13.0,6.320167303085327
13.0,7.036283493041992
13.0,7.547586679458618
13.0,6.134783744812012
13.0,6.807153224945068
13.0,6.613409042358398
13.0,6.7510504722595215
13.0,6.297323942184448
13.0,9.173060894012451
13.0,6.168922185897827
13.0,6.026031017303467
13.0,5.9818809032440186
13.0,5.919951677322388
13.0,6.058466911315918
13.0,6.172713756561279
13.0,6.170745611190796
13.0,6.027641296386719
13.0,6.104617357254028
13.0,6.8625123500823975
13.0,6.602898836135864
13.0,6.390286922454834
13.0,6.5289506912231445
13.0,6.449918270111084
13.0,6.54719614982605
13.0,6.552273273468018
13.0,7.624613285064697
13.0,6.630021095275879
13.0,6.685314655303955
13.0,6.643696308135986
13.0,6.729039430618286
13.0,6.500401973724365
13.0,6.617401599884033
13.0,6.821339130401611
13.0,6.628025531768799
13.0,6.482515811920166
13.0,6.800553321838379
13.0,6.74846339225769
13.0,6.664907217025757
13.0,6.19396448135376
13.0,6.099080562591553
13.0,6.103994131088257
13.0,6.107084274291992
13.0,6.283714532852173
13.0,6.218782186508179
